data_id,reporting_date,metric_id,value,currency,entity_id
64,30-06-2025,5,112.1351,%,E101
65,30-11-2023,5,110.6187,%,E132
66,30-04-2023,1,3170.78,INR,E124
67,31-08-2023,3,570462.11,INR,E104
68,31-05-2025,2,181.32,INR,E137
69,31-03-2023,1,1298.2,INR,E147
70,31-03-2025,4,2.4869,x,E105
71,31-01-2025,5,120.4449,%,E109
72,31-10-2024,2,-180.77,INR,E131
73,30-06-2023,5,105.1104,%,E117
74,30-04-2025,5,121.3092,%,E139
75,31-07-2023,4,2.2069,x,E135
76,30-11-2024,2,137.4,INR,E120
77,31-10-2024,4,2.2713,x,E142
78,31-03-2024,3,537022.33,INR,E134
79,30-04-2023,4,1.8585,x,E116
80,31-03-2023,2,-230.48,INR,E122
81,31-07-2024,1,4452.41,INR,E136
82,31-07-2024,2,73.98,INR,E115
83,31-03-2023,1,2323.59,INR,E146
84,31-08-2023,1,1254.23,INR,E105
85,30-04-2025,1,2243.93,INR,E122
86,31-05-2024,1,2300.73,INR,E116
87,31-10-2024,3,864803.09,INR,E132
88,30-06-2024,2,82.53,INR,E109
89,31-07-2024,5,122.7443,%,E131
90,28-02-2025,2,-16.67,INR,E131
91,31-07-2023,4,1.6196,x,E107
92,31-10-2024,1,3852.98,INR,E128
93,29-02-2024,3,880392.52,INR,E127
94,30-04-2025,4,2.0613,x,E147
95,31-10-2024,1,4083.87,INR,E142
96,28-02-2023,1,2975.18,INR,E126
97,28-02-2025,3,761366.41,INR,E107
98,31-07-2023,2,-43.48,INR,E113
99,31-03-2024,5,105.5084,%,E109
100,30-06-2023,4,1.6079,x,E118
101,31-08-2023,4,1.5314,x,E105
102,28-02-2025,4,2.1364,x,E136
103,28-02-2023,1,2257.42,INR,E142
104,31-03-2025,5,115.1714,%,E101
105,30-06-2025,1,4630.27,INR,E149
106,30-06-2023,2,-150.42,INR,E127
107,30-04-2024,4,1.9104,x,E114
108,31-05-2025,4,2.2556,x,E104
109,31-01-2024,2,-162.72,INR,E101
110,30-09-2023,4,1.577,x,E130
111,29-02-2024,3,644875.73,INR,E145
112,31-10-2024,5,108.2244,%,E146
113,31-05-2023,4,2.4297,x,E113
114,31-07-2023,3,904060.19,INR,E104
115,31-12-2024,5,117.6681,%,E135
116,31-12-2024,1,4485.84,INR,E121
117,28-02-2023,1,4214.69,INR,E138
118,31-05-2024,4,1.6866,x,E134
119,28-02-2023,2,235.54,INR,E133
120,30-04-2025,1,3157.37,INR,E112
121,31-08-2024,1,4229.76,INR,E105
122,31-01-2024,2,237.65,INR,E108
123,31-08-2023,5,111.3601,%,E138
124,28-02-2023,5,107.201,%,E140
125,29-02-2024,1,1911.74,INR,E143
126,31-07-2024,5,113.5422,%,E134
127,30-06-2025,3,909007.38,INR,E117
128,31-10-2024,2,216.44,INR,E146
129,31-08-2023,3,503476.07,INR,E117
130,31-05-2023,4,2.0107,x,E143
131,31-03-2024,3,708705.5,INR,E121
132,31-01-2023,1,1888.43,INR,E130
133,31-07-2024,5,107.3973,%,E107
134,30-06-2024,1,2350.46,INR,E114
135,30-09-2023,5,123.8582,%,E109
136,31-05-2025,3,661601.47,INR,E105
137,31-12-2023,2,11.27,INR,E119
138,31-03-2024,2,121.81,INR,E135
139,31-08-2024,3,681814.8,INR,E142
140,31-01-2023,5,124.4356,%,E143
141,31-10-2023,5,124.2489,%,E143
142,31-05-2025,1,2007.13,INR,E109
143,30-04-2023,3,748624.25,INR,E107
144,31-05-2023,5,111.0176,%,E118
145,31-08-2024,3,642420.25,INR,E114
146,31-07-2023,3,518443.47,INR,E144
147,31-05-2024,3,804782.17,INR,E132
148,31-05-2025,3,751339.51,INR,E104
149,30-09-2024,1,1205.92,INR,E128
150,28-02-2023,3,639323.23,INR,E101
151,31-01-2025,3,954132.94,INR,E109
152,30-06-2023,3,619780.95,INR,E148
153,30-06-2024,4,1.6449,x,E146
154,30-06-2024,4,1.9895,x,E101
155,31-03-2023,1,4942.6,INR,E145
156,30-06-2024,2,-154.77,INR,E103
157,31-07-2024,3,836067.77,INR,E136
158,29-02-2024,2,156.97,INR,E109
159,31-10-2023,1,1950.55,INR,E124
160,31-05-2025,1,3912.87,INR,E123
161,31-10-2024,2,-79.33,INR,E116
162,31-12-2023,1,3529.22,INR,E150
163,31-05-2025,5,117.6706,%,E127
164,31-12-2024,5,115.7155,%,E110
165,30-04-2025,2,-245.83,INR,E111
166,31-05-2025,2,201.18,INR,E127
167,30-06-2023,1,2283.12,INR,E148
168,28-02-2025,3,593259.26,INR,E127
169,30-09-2023,2,-275.53,INR,E111
170,31-01-2024,1,3363.57,INR,E103
171,31-08-2023,4,2.1776,x,E113
172,31-12-2023,4,1.5166,x,E120
173,31-08-2023,2,7.26,INR,E102
174,31-01-2024,2,-164.1,INR,E122
175,30-04-2025,3,822586.4,INR,E105
176,31-12-2023,3,587183.21,INR,E142
177,31-01-2024,5,118.8188,%,E144
178,30-11-2023,5,112.7347,%,E102
179,31-05-2025,1,4746.92,INR,E117
180,31-07-2024,2,-217.49,INR,E117
181,30-04-2023,1,2364.27,INR,E139
182,31-12-2023,4,1.6135,x,E147
183,29-02-2024,3,962346.81,INR,E139
184,30-04-2023,5,122.5468,%,E125
185,31-07-2023,5,110.1588,%,E117
186,30-11-2024,1,3639.94,INR,E128
187,31-05-2024,1,4268.89,INR,E135
188,31-12-2023,2,33.12,INR,E128
189,31-10-2024,1,3118.6,INR,E122
190,30-11-2023,5,109.837,%,E143
191,31-12-2024,1,1372.41,INR,E120
192,31-10-2023,5,122.9443,%,E143
193,30-11-2023,4,2.4004,x,E126
194,30-06-2024,3,816550.73,INR,E109
195,29-02-2024,2,-96.58,INR,E143
196,31-10-2024,4,1.8492,x,E148
197,31-08-2024,2,135.57,INR,E137
198,31-01-2024,3,948555.13,INR,E136
199,31-10-2023,1,4548.35,INR,E119
200,29-02-2024,2,167.93,INR,E138
201,30-09-2024,5,117.8406,%,E121
202,31-03-2024,4,1.5841,x,E129
203,31-05-2024,2,-203.02,INR,E131
204,31-10-2024,2,239.13,INR,E106
205,31-05-2024,3,803214.53,INR,E143
206,30-11-2023,5,105.1839,%,E106
207,31-10-2024,2,-239.12,INR,E120
208,28-02-2025,2,98.1,INR,E113
209,31-01-2023,2,-296.96,INR,E103
210,30-04-2024,2,-203.52,INR,E140
211,31-03-2024,1,3194.94,INR,E127
212,31-07-2023,5,118.8379,%,E146
213,30-04-2024,4,2.152,x,E126
214,31-05-2023,2,-165.44,INR,E142
215,31-05-2025,1,3848.72,INR,E149
216,31-01-2025,1,1949,INR,E128
217,30-06-2023,2,-104.76,INR,E145
218,31-03-2024,5,119.9298,%,E104
219,31-08-2023,5,117.9927,%,E108
220,31-05-2023,4,2.3492,x,E130
221,30-06-2024,5,118.1523,%,E139
222,31-01-2025,3,784154.3,INR,E129
223,31-03-2025,5,106.8735,%,E147
224,29-02-2024,5,112.3543,%,E136
225,31-05-2025,4,1.7652,x,E111
226,31-03-2024,4,1.744,x,E117
227,31-03-2025,2,283.81,INR,E141
228,31-01-2025,3,696548.86,INR,E150
229,30-04-2024,5,122.8409,%,E141
230,30-09-2023,2,78.68,INR,E129
231,30-11-2024,1,4179.25,INR,E119
232,30-09-2023,2,1.58,INR,E122
233,31-05-2025,3,788451.94,INR,E135
234,31-05-2023,1,2970.07,INR,E110
235,31-01-2024,2,-182.85,INR,E145
236,30-11-2024,2,133.47,INR,E114
237,29-02-2024,1,2123.09,INR,E127
238,30-06-2024,3,512157.98,INR,E130
239,28-02-2023,4,2.1455,x,E114
240,31-01-2024,4,1.6771,x,E150
241,30-11-2024,5,123.8092,%,E102
242,31-01-2024,5,124.0786,%,E131
243,31-12-2023,1,4659.46,INR,E120
244,30-04-2025,4,1.8702,x,E127
245,31-12-2024,5,105.3091,%,E148
246,28-02-2025,5,123.5664,%,E139
247,30-04-2024,2,-43.09,INR,E115
248,29-02-2024,3,983327.41,INR,E132
249,31-01-2024,1,4854.48,INR,E122
250,31-12-2024,4,2.353,x,E111
251,30-06-2025,4,1.7944,x,E109
252,30-06-2024,5,112.702,%,E102
253,31-07-2024,4,2.3511,x,E137
254,31-03-2023,1,2267.69,INR,E142
255,31-05-2023,4,1.6695,x,E130
256,28-02-2023,2,34.08,INR,E117
257,30-11-2023,4,2.4362,x,E114
258,30-11-2023,4,2.196,x,E122
259,30-09-2023,4,2.0701,x,E149
260,30-09-2023,4,1.5972,x,E106
261,31-01-2023,4,2.115,x,E148
262,28-02-2023,5,124.8011,%,E123
263,30-09-2024,2,-215.95,INR,E105
264,31-01-2025,1,3073.32,INR,E102
265,31-07-2023,2,226.42,INR,E102
266,31-05-2023,5,119.8154,%,E116
267,30-04-2024,2,118.21,INR,E143
268,31-07-2024,1,3809.94,INR,E114
269,30-11-2024,4,1.8595,x,E117
270,30-06-2023,3,646795.92,INR,E139
271,31-12-2024,5,121.1872,%,E146
272,31-01-2025,1,4240.45,INR,E111
273,30-04-2023,3,933536.16,INR,E138
274,30-06-2025,1,4652.96,INR,E120
275,31-10-2024,5,115.2268,%,E125
276,30-11-2024,4,2.0015,x,E113
277,31-07-2024,1,4193.18,INR,E145
278,30-04-2023,2,89.98,INR,E145
279,30-04-2025,3,850983.44,INR,E144
280,28-02-2025,5,120.9159,%,E108
281,28-02-2025,5,122.8001,%,E103
282,30-06-2024,3,668997.58,INR,E128
283,31-03-2023,3,687791.48,INR,E133
284,31-01-2023,3,546990.97,INR,E127
285,30-04-2023,4,2.0783,x,E128
286,30-09-2024,3,517971.14,INR,E130
287,29-02-2024,2,-20.64,INR,E112
288,30-09-2024,5,115.8529,%,E118
289,28-02-2025,5,110.7308,%,E135
290,31-03-2024,4,2.0908,x,E128
291,30-09-2023,5,105.61,%,E121
292,31-03-2025,2,-277.59,INR,E106
293,31-05-2025,3,911300.28,INR,E129
294,31-01-2025,2,-83.89,INR,E130
295,31-08-2024,5,107.5412,%,E143
296,30-11-2023,4,2.0222,x,E102
297,30-04-2025,4,2.27,x,E121
298,30-04-2024,2,-170.51,INR,E114
299,28-02-2025,3,811445.24,INR,E117
300,30-09-2023,3,542673.73,INR,E139
301,30-06-2024,3,525840.86,INR,E101
302,31-07-2023,5,115.6271,%,E106
303,31-12-2024,2,24.38,INR,E127
304,30-06-2024,4,2.1374,x,E149
305,30-11-2024,2,135.65,INR,E131
306,31-03-2024,4,2.4759,x,E102
307,31-10-2023,1,3065.2,INR,E115
308,30-11-2024,4,1.823,x,E116
309,31-10-2024,3,897593.1,INR,E138
310,30-04-2024,3,635416.13,INR,E136
311,31-12-2023,5,113.7794,%,E128
312,30-11-2023,5,106.5691,%,E123
313,30-09-2023,4,1.5254,x,E120
314,31-08-2023,3,981324.21,INR,E108
315,30-11-2023,2,201.59,INR,E108
316,31-01-2025,5,118.9195,%,E145
317,31-07-2023,2,-54.63,INR,E114
318,30-09-2023,4,1.6733,x,E147
319,31-01-2025,5,108.1287,%,E134
320,31-10-2023,5,110.0049,%,E107
321,31-10-2023,2,29.54,INR,E115
322,30-06-2023,3,857297.96,INR,E120
323,30-11-2024,1,3640.79,INR,E135
324,30-09-2023,2,-132.04,INR,E103
325,30-06-2024,1,4819.46,INR,E119
326,30-09-2024,2,142.74,INR,E149
327,30-04-2023,4,2.0544,x,E101
328,31-10-2023,5,117.2344,%,E131
329,31-03-2024,4,1.9196,x,E122
330,28-02-2023,2,-151.36,INR,E117
331,30-04-2023,4,1.856,x,E105
332,30-04-2024,4,2.2578,x,E105
333,30-09-2024,5,105.2879,%,E144
334,31-05-2023,1,1464.29,INR,E110
335,31-10-2023,5,105.9201,%,E106
336,30-04-2023,2,-275.56,INR,E136
337,31-08-2024,4,2.3555,x,E139
338,31-08-2023,5,119.0732,%,E150
339,31-01-2024,5,114.4835,%,E129
340,31-10-2023,4,1.5978,x,E138
341,31-10-2023,4,1.9916,x,E137
342,28-02-2023,5,114.4694,%,E140
343,31-01-2025,1,1692.81,INR,E114
344,30-09-2023,2,-39.69,INR,E143
345,30-06-2023,1,2594.02,INR,E116
346,30-06-2024,2,69.51,INR,E105
347,31-01-2023,2,81.06,INR,E127
348,30-11-2024,4,1.5453,x,E139
349,31-10-2023,4,1.8746,x,E103
350,31-10-2023,2,75.52,INR,E146
351,30-11-2024,3,751568.13,INR,E130
352,31-10-2024,1,4425.96,INR,E115
353,28-02-2025,3,829346.82,INR,E141
354,31-10-2024,5,108.2587,%,E113
355,30-04-2023,4,1.5706,x,E135
356,30-09-2024,2,85.45,INR,E110
357,31-03-2025,3,513255.66,INR,E110
358,28-02-2023,1,3343.1,INR,E111
359,31-08-2024,3,970115.12,INR,E148
360,30-06-2025,5,116.5095,%,E119
361,30-04-2023,4,1.8882,x,E130
362,30-11-2024,3,821644.11,INR,E126
363,31-05-2024,3,729126.45,INR,E135
364,31-03-2024,4,2.0456,x,E106
365,28-02-2023,5,123.8293,%,E128
366,31-08-2024,3,693051.32,INR,E117
367,31-03-2023,1,4844.76,INR,E115
368,31-07-2024,5,123.107,%,E102
369,31-07-2024,3,597895.57,INR,E103
370,30-04-2024,2,-258.38,INR,E134
371,30-06-2025,4,1.6008,x,E118
372,31-07-2024,2,-289.07,INR,E128
373,31-03-2023,4,1.5944,x,E131
374,29-02-2024,3,841503.39,INR,E122
375,31-10-2024,3,535594.32,INR,E107
376,30-11-2023,2,-108.61,INR,E127
377,31-10-2023,4,2.3449,x,E143
378,31-03-2025,4,1.5233,x,E149
379,28-02-2023,5,121.2894,%,E130
380,30-11-2023,1,2127.42,INR,E117
381,30-04-2023,3,559082.41,INR,E150
382,30-04-2025,4,2.1967,x,E133
383,31-10-2024,1,3515.77,INR,E135
384,29-02-2024,4,2.3775,x,E104
385,31-05-2024,2,141.04,INR,E124
386,31-01-2025,5,121.0696,%,E132
387,31-01-2025,4,1.782,x,E104
388,30-09-2023,2,-193.54,INR,E136
389,30-06-2025,2,150.37,INR,E119
390,31-05-2025,4,2.3068,x,E145
391,30-04-2023,4,2.4905,x,E102
392,28-02-2025,5,113.2524,%,E116
393,31-10-2023,2,-76.79,INR,E136
394,30-06-2024,1,4105.65,INR,E127
395,31-08-2023,1,2363.21,INR,E108
396,30-04-2023,4,2.4308,x,E142
397,30-04-2024,2,215.05,INR,E146
398,31-05-2024,3,714497.01,INR,E146
399,29-02-2024,3,875435.53,INR,E131
400,31-08-2023,4,2.2545,x,E130
401,31-05-2023,5,107.0625,%,E125
402,30-06-2025,2,241.53,INR,E139
403,31-12-2024,5,115.105,%,E109
404,30-09-2023,1,4305.83,INR,E150
405,30-11-2023,4,1.82,x,E133
406,31-03-2025,3,947761.61,INR,E101
407,31-12-2024,3,694600.84,INR,E120
408,31-07-2024,5,105.2168,%,E143
409,30-04-2025,4,2.4054,x,E110
410,30-06-2024,4,1.5913,x,E131
411,30-11-2023,3,659656.82,INR,E136
412,31-01-2024,5,124.0012,%,E130
413,30-04-2025,3,975303.57,INR,E113
414,31-07-2024,2,44.06,INR,E125
415,30-04-2025,2,79.1,INR,E150
416,28-02-2023,4,1.9484,x,E121
417,30-11-2024,4,1.7932,x,E125
418,31-10-2024,4,1.8287,x,E142
419,30-04-2024,2,103.51,INR,E103
420,31-05-2024,2,151.42,INR,E138
421,30-04-2025,3,895789.52,INR,E107
422,30-04-2023,4,2.2896,x,E134
423,31-01-2023,4,1.5912,x,E147
424,29-02-2024,2,-3.35,INR,E142
425,31-03-2023,2,-265.46,INR,E131
426,30-11-2023,3,774764.44,INR,E140
427,30-09-2024,4,1.9415,x,E106
428,30-04-2025,3,943852.09,INR,E144
429,31-01-2024,5,112.0183,%,E121
430,30-04-2025,4,1.6171,x,E135
431,31-08-2024,1,1571.97,INR,E105
432,30-09-2024,2,156.91,INR,E144
433,31-08-2023,3,809109.03,INR,E148
434,29-02-2024,1,1404.49,INR,E107
435,31-03-2024,1,1336.43,INR,E111
436,31-05-2025,3,850484.57,INR,E102
437,30-11-2023,1,1291.05,INR,E104
438,31-12-2023,3,910930.03,INR,E124
439,31-05-2023,4,2.2062,x,E116
440,29-02-2024,5,106.627,%,E137
441,30-06-2023,2,-249.1,INR,E112
442,31-08-2024,1,4946.56,INR,E125
443,31-10-2024,5,112.4854,%,E116
444,30-06-2025,4,1.8706,x,E138
445,31-08-2023,2,187.68,INR,E130
446,31-03-2024,3,973624.29,INR,E117
447,31-05-2025,1,4944,INR,E130
448,31-10-2024,3,876689.09,INR,E135
449,31-03-2023,2,-74.24,INR,E129
450,31-07-2024,3,541750.36,INR,E120
451,30-11-2024,4,2.2771,x,E117
452,30-04-2025,4,2.0584,x,E120
453,31-01-2024,2,-45.47,INR,E131
454,31-08-2023,1,4625.42,INR,E125
455,31-12-2023,5,107.2239,%,E137
456,30-11-2024,3,746312.55,INR,E119
457,31-03-2025,1,1045.41,INR,E143
458,30-09-2023,4,1.9687,x,E101
459,30-04-2025,5,106.1261,%,E144
460,30-06-2025,1,1475.27,INR,E139
461,31-03-2025,4,1.6175,x,E119
462,31-08-2024,2,89.53,INR,E123
463,30-09-2024,2,147.63,INR,E113
464,30-09-2023,5,116.6674,%,E144
465,30-09-2024,2,277.3,INR,E107
466,31-10-2023,1,2499.48,INR,E129
467,31-07-2024,1,2142.85,INR,E124
468,31-03-2023,2,221.16,INR,E119
469,31-12-2024,3,611797.92,INR,E127
470,31-07-2023,2,277.93,INR,E109
471,31-05-2025,5,105.2431,%,E124
472,31-05-2024,5,124.3976,%,E118
473,30-09-2023,2,-274.1,INR,E131
474,31-12-2024,3,945571.56,INR,E122
475,31-03-2024,1,3110.8,INR,E105
476,31-01-2025,2,295.78,INR,E115
477,30-04-2025,4,1.5738,x,E136
478,31-03-2023,3,776927.14,INR,E126
479,30-09-2023,1,4877.21,INR,E135
480,31-03-2024,1,3092.39,INR,E124
481,31-07-2024,3,814699.32,INR,E125
482,30-04-2023,3,847874.34,INR,E144
483,30-04-2024,2,-27.28,INR,E102
484,31-05-2025,5,117.5512,%,E136
485,30-06-2025,3,792157.16,INR,E140
486,30-09-2024,2,240.69,INR,E105
487,30-06-2025,4,1.5454,x,E145
488,30-09-2024,3,640481.59,INR,E127
489,31-05-2023,1,4801.65,INR,E103
490,31-10-2023,1,4561.06,INR,E132
491,30-04-2023,1,2822.63,INR,E116
492,31-05-2023,5,117.4027,%,E125
493,31-12-2023,4,1.7774,x,E143
494,29-02-2024,5,108.7624,%,E138
495,31-05-2025,2,-21.78,INR,E127
496,31-03-2025,1,2413.41,INR,E132
497,29-02-2024,5,116.6731,%,E118
498,30-11-2024,1,1310.94,INR,E124
499,31-03-2024,2,284.64,INR,E129
500,30-04-2025,2,291.73,INR,E124
501,31-10-2024,1,3792.65,INR,E124
502,31-05-2025,5,115.7219,%,E142
503,28-02-2023,3,654763.81,INR,E126
504,31-07-2023,3,906897.51,INR,E108
505,31-03-2023,4,2.1847,x,E143
506,30-09-2024,2,-202.43,INR,E141
507,31-01-2023,5,123.2185,%,E104
508,31-08-2023,3,911268.62,INR,E109
509,31-07-2023,5,123.996,%,E105
510,31-07-2023,5,119.5144,%,E138
511,31-03-2025,2,68.05,INR,E115
512,31-01-2025,3,709121.52,INR,E110
513,31-01-2023,5,123.6546,%,E118
514,31-05-2023,2,219.64,INR,E135
515,28-02-2025,3,522609.34,INR,E112
516,31-10-2024,1,1105.47,INR,E102
517,31-01-2023,2,-74.12,INR,E123
518,31-07-2024,2,186.33,INR,E121
519,30-06-2023,1,4949.1,INR,E117
520,31-05-2023,1,1601.67,INR,E148
521,31-05-2024,4,2.0941,x,E108
522,30-04-2024,1,2523.56,INR,E129
523,31-05-2024,3,984957.2,INR,E138
524,31-03-2024,1,4368.48,INR,E133
525,31-08-2024,2,203,INR,E103
526,31-10-2023,5,114.3739,%,E130
527,28-02-2023,1,2659.28,INR,E131
528,29-02-2024,4,1.7734,x,E144
529,30-04-2024,1,1225.5,INR,E146
530,31-03-2023,4,2.3647,x,E106
531,31-08-2024,3,906450.5,INR,E110
532,31-05-2023,1,4998.87,INR,E118
533,30-09-2024,5,124.9327,%,E138
534,30-11-2024,5,116.1086,%,E121
535,31-08-2024,4,2.269,x,E134
536,31-03-2024,3,972382.86,INR,E133
537,29-02-2024,5,121.9929,%,E107
538,30-04-2025,1,1989.39,INR,E142
539,31-12-2024,5,114.0109,%,E114
540,31-03-2024,4,1.6292,x,E115
541,30-11-2023,4,2.4541,x,E130
542,29-02-2024,4,2.1062,x,E147
543,30-11-2023,1,1914.57,INR,E128
544,31-10-2024,3,835850.34,INR,E117
545,31-05-2023,3,809064.12,INR,E144
546,31-03-2023,4,1.8582,x,E106
547,31-03-2023,1,1454.23,INR,E128
548,31-12-2024,1,3686.29,INR,E148
549,28-02-2025,3,760153.85,INR,E109
550,28-02-2023,5,120.4464,%,E138
551,30-06-2024,5,115.4033,%,E122
552,29-02-2024,1,4408.73,INR,E123
553,30-04-2025,4,2.0519,x,E147
554,31-10-2023,1,3243.75,INR,E139
555,31-12-2023,3,938326.8,INR,E107
556,31-05-2024,5,113.0697,%,E114
557,31-10-2024,2,-219.59,INR,E131
558,30-04-2025,2,-282.73,INR,E107
559,30-04-2025,3,877568.63,INR,E136
560,30-04-2023,3,810154.78,INR,E149
561,31-07-2024,3,852039.88,INR,E115
562,30-04-2025,4,1.713,x,E136
563,31-08-2024,5,107.7274,%,E144
564,31-01-2023,5,105.2909,%,E139
565,31-01-2023,3,675293.78,INR,E112
566,30-11-2024,3,794958.84,INR,E149
567,30-06-2025,3,696122.02,INR,E122
568,31-01-2023,3,718737.46,INR,E112
569,31-07-2024,2,242.5,INR,E143
570,31-03-2023,4,1.8483,x,E110
571,31-03-2023,1,3055.96,INR,E148
572,31-07-2023,5,120.6731,%,E125
573,31-03-2024,4,1.8965,x,E122
574,31-12-2023,2,73.25,INR,E120
575,31-01-2025,3,931181.85,INR,E137
576,31-03-2023,5,123.9904,%,E104
577,30-06-2023,2,-211.76,INR,E149
578,28-02-2023,5,123.5318,%,E144
579,30-09-2023,1,2968.47,INR,E129
580,30-04-2024,4,1.7582,x,E139
581,29-02-2024,4,1.9591,x,E118
582,31-01-2025,2,288.02,INR,E133
583,31-12-2023,1,2970.47,INR,E128
584,31-10-2023,1,2315.01,INR,E144
585,30-04-2024,5,117.668,%,E134
586,28-02-2023,3,620072.81,INR,E115
587,31-08-2024,4,1.5759,x,E104
588,31-07-2023,1,1515.52,INR,E120
589,31-01-2025,2,-223.17,INR,E109
590,31-10-2023,3,575951.35,INR,E121
591,31-01-2023,1,1555.31,INR,E132
592,30-06-2023,4,2.1409,x,E109
593,30-06-2024,4,1.6819,x,E146
594,31-05-2024,2,-92.6,INR,E136
595,31-03-2023,3,948394.2,INR,E126
596,29-02-2024,1,2895.85,INR,E102
597,30-06-2025,4,2.1676,x,E105
598,31-07-2024,3,586159.94,INR,E128
599,31-01-2024,5,108.8458,%,E146
600,31-10-2023,4,1.5409,x,E108
601,31-01-2023,4,1.6689,x,E121
602,28-02-2025,2,-132.85,INR,E140
603,31-03-2025,4,1.677,x,E145
604,31-03-2023,3,544351.27,INR,E128
605,31-08-2023,1,1482.54,INR,E128
606,31-01-2024,5,114.2156,%,E134
607,31-01-2024,1,1825.33,INR,E120
608,31-08-2023,3,682134.93,INR,E122
609,31-03-2023,2,2.05,INR,E133
610,31-05-2024,1,3761.58,INR,E133
611,31-05-2025,2,-276.41,INR,E150
612,31-12-2023,3,899705.2,INR,E147
613,31-08-2023,2,76.74,INR,E107
614,30-09-2023,2,-250.94,INR,E113
615,31-08-2024,2,224.15,INR,E110
616,30-06-2023,1,4683.49,INR,E150
617,31-03-2024,4,1.5611,x,E149
618,31-01-2025,5,110.5376,%,E138
619,31-10-2024,4,2.3062,x,E137
620,30-11-2023,5,119.9652,%,E141
621,31-05-2023,3,592260.51,INR,E129
622,30-04-2024,1,1837.4,INR,E129
623,28-02-2025,3,685236.05,INR,E118
624,28-02-2023,5,114.6905,%,E123
625,31-03-2023,5,117.3651,%,E120
626,31-03-2024,4,1.8689,x,E103
627,31-12-2023,1,2850.14,INR,E119
628,30-09-2024,1,3989.88,INR,E106
629,31-08-2024,5,105.7337,%,E133
630,31-03-2024,4,1.7524,x,E138
631,28-02-2025,5,119.267,%,E148
632,31-03-2024,1,4580.83,INR,E137
633,30-11-2023,2,7.01,INR,E139
634,31-05-2024,4,2.0321,x,E110
635,31-03-2024,1,1428.69,INR,E107
636,30-11-2024,3,723706.18,INR,E106
637,30-09-2024,5,115.6523,%,E112
638,31-08-2023,1,1969.88,INR,E146
639,31-03-2024,4,1.7692,x,E134
640,31-08-2024,5,112.5457,%,E111
641,31-12-2023,3,510035.6,INR,E119
642,29-02-2024,4,1.8221,x,E150
643,31-10-2024,3,605724,INR,E139
644,28-02-2025,1,2309.99,INR,E141
645,31-03-2023,3,559881.07,INR,E122
646,30-06-2024,1,4562.11,INR,E144
647,31-10-2023,4,2.0936,x,E117
648,30-04-2025,5,118.582,%,E110
649,31-03-2023,3,894585.62,INR,E138
650,30-06-2025,2,-0.93,INR,E123
