comparision_id,reporting_date,metric_id,current_value,prior_period_value,prior_year_value,mom_change_per,yoy_change_per,narrative_status
27,30-09-2023,1,4324435.39,4401450.93,3843292.29,-1.75,12.52,Strong Growth
28,30-09-2023,1,4696963.49,4708818.75,4841758.89,-0.25,-2.99,Minor Decline
29,30-09-2024,2,45.12,46.51,45.17,-2.99,-0.11,Stable
30,30-09-2023,5,122.94,124.62,114.81,-1.35,7.08,Minor Growth
31,31-12-2023,2,73.87,75.68,73.17,-2.39,0.96,Stable
32,30-06-2023,3,92629558.08,92123625.4,87464489.37,0.55,5.91,Minor Growth
33,31-12-2024,2,165.23,173.03,190.93,-4.51,-13.46,Major Decline
34,30-09-2023,1,1459839.93,1510752.23,1335097.99,-3.37,9.34,Minor Growth
35,30-06-2025,2,-38.65,-39.91,-38.28,-3.16,0.97,Stable
36,30-06-2025,1,4053360.93,4204703.48,4251833.24,-3.6,-4.67,Minor Decline
37,31-03-2025,4,1.69,1.67,1.9,1.2,-11.05,Major Decline
38,31-03-2025,1,4124382.67,4248514.49,4753889.93,-2.92,-13.24,Major Decline
39,31-12-2024,2,246.52,250.7,246.32,-1.67,0.08,Stable
40,31-12-2023,2,-239.4,-239.89,-261.13,-0.2,-8.32,Minor Decline
41,31-03-2024,3,92018925.01,90093144.02,87721300.88,2.14,4.9,Minor Growth
42,31-03-2025,3,89063068.04,90938973.66,90318986.25,-2.06,-1.39,Stable
43,31-03-2024,5,106.73,111.55,112.5,-4.32,-5.13,Minor Decline
44,31-03-2024,4,2.32,2.3,2.37,0.87,-2.11,Minor Decline
45,31-03-2025,4,2.47,2.48,2.49,-0.4,-0.8,Stable
46,30-09-2023,5,124.85,129.63,134.73,-3.69,-7.33,Minor Decline
47,30-09-2024,5,114.07,113.26,127.53,0.72,-10.55,Major Decline
48,30-06-2025,5,111.58,114.79,100.98,-2.8,10.5,Strong Growth
49,30-06-2023,1,4338479.72,4454365.74,4424862.5,-2.6,-1.95,Stable
50,31-12-2024,5,118.03,123.62,105.85,-4.52,11.51,Strong Growth
51,31-12-2023,1,3044094.8,3129679.36,3141394.77,-2.73,-3.1,Minor Decline
52,30-06-2025,5,123.03,129.17,137.8,-4.75,-10.72,Major Decline
53,30-09-2024,4,1.69,1.77,1.84,-4.52,-8.15,Minor Decline
54,30-09-2024,1,4268623.86,4257097.03,4137747.52,0.27,3.16,Minor Growth
55,31-12-2023,1,1623540.21,1660347.59,1442830.75,-2.22,12.52,Strong Growth
56,31-12-2024,2,-173.74,-166.95,-165.63,4.07,4.9,Minor Growth
57,31-03-2023,1,3011090.75,3112576.52,2862035.6,-3.26,5.21,Minor Growth
58,30-06-2023,2,231.84,240.01,272.16,-3.4,-14.81,Major Decline
59,30-09-2024,3,87003056.63,86137710.55,86922546.34,1,0.09,Stable
60,30-06-2024,2,-26.37,-26.38,-27.4,-0.04,-3.76,Minor Decline
61,30-09-2024,3,54116586.33,52664499.88,54643890.4,2.76,-0.96,Stable
62,31-12-2024,4,2.32,2.21,2.57,4.98,-9.73,Minor Decline
63,30-06-2025,2,176.09,168.06,164.98,4.78,6.73,Minor Growth
64,31-03-2024,2,-152.42,-146.61,-140.1,3.96,8.79,Minor Growth
65,30-09-2024,3,72465471.08,71943394.69,67942112.51,0.73,6.66,Minor Growth
66,31-03-2024,5,107.49,103.09,93.78,4.27,14.62,Strong Growth
67,31-12-2023,5,111.61,109.26,114.31,2.15,-2.36,Minor Decline
68,30-09-2023,5,105.55,100.92,118.24,4.59,-10.73,Major Decline
69,30-09-2023,3,53747175.9,51993994.65,62485072.59,3.37,-13.98,Major Decline
70,31-03-2025,5,118.76,113.86,122.2,4.3,-2.82,Minor Decline
71,30-09-2023,1,1273405.85,1310318.51,1122440.68,-2.82,13.45,Strong Growth
72,31-03-2024,2,-20.77,-20.68,-23.16,0.44,-10.32,Major Decline
73,31-12-2024,5,123.36,123.15,122.3,0.17,0.87,Stable
74,30-06-2024,5,116.52,113.49,127.92,2.67,-8.91,Minor Decline
75,31-03-2025,5,123.85,128,136.21,-3.24,-9.07,Minor Decline
76,31-03-2023,3,50620408.88,53174462.2,51724600.21,-4.8,-2.13,Minor Decline
77,30-06-2023,2,-190.22,-195.86,-165.93,-2.88,14.64,Strong Growth
78,30-06-2023,2,257.59,262.25,270.31,-1.78,-4.71,Minor Decline
79,30-06-2025,5,110.84,106.76,126.03,3.82,-12.05,Major Decline
80,30-06-2023,3,79204301.24,81769386.28,73511161.23,-3.14,7.74,Minor Growth
81,31-03-2024,4,2.13,2.15,2.42,-0.93,-11.98,Major Decline
82,30-09-2024,5,120.35,125.67,129.11,-4.23,-6.78,Minor Decline
83,31-03-2024,2,-147.81,-146.66,-147.2,0.78,0.41,Stable
84,31-03-2023,5,110.59,111.37,112.74,-0.7,-1.91,Stable
85,31-03-2025,3,78677975.26,75664713.33,88146717.58,3.98,-10.74,Major Decline
86,30-09-2024,1,3230786.79,3394261.48,3049447.75,-4.82,5.95,Minor Growth
87,30-09-2023,5,117.81,115.57,118.7,1.94,-0.75,Stable
88,31-12-2024,4,1.69,1.7,1.97,-0.59,-14.21,Major Decline
89,31-03-2023,3,69071786.62,66809773.86,72586730.7,3.39,-4.84,Minor Decline
90,31-03-2024,1,3367016.81,3449418.21,3782037.57,-2.39,-10.97,Major Decline
91,30-06-2025,2,12.55,13.16,11.19,-4.64,12.15,Strong Growth
92,30-06-2025,1,4108727.86,3913849.82,3579170.2,4.98,14.8,Strong Growth
93,31-03-2025,1,3915944.18,3810510.8,3883218.52,2.77,0.84,Stable
94,31-12-2023,2,-168.87,-163.82,-181.4,3.08,-6.91,Minor Decline
95,31-12-2023,5,118,115.34,115.77,2.31,1.93,Stable
96,31-03-2025,3,83136375.85,84894443.21,77109879.27,-2.07,7.82,Minor Growth
97,30-06-2024,4,2.44,2.44,2.75,0,-11.27,Major Decline
98,31-03-2025,5,117.39,119.28,120.31,-1.58,-2.43,Minor Decline
99,31-12-2023,2,-209.02,-206.42,-192.44,1.26,8.62,Minor Growth
100,31-03-2025,4,2.27,2.16,2.48,5.09,-8.47,Minor Decline
101,30-06-2024,2,248.49,242.84,233.93,2.33,6.22,Minor Growth
102,30-09-2023,5,118.68,118.23,123.16,0.38,-3.64,Minor Decline
103,31-03-2023,2,266.01,275.63,294.65,-3.49,-9.72,Minor Decline
104,31-03-2024,1,1066858.55,1041916.62,954089.45,2.39,11.82,Strong Growth
105,30-09-2023,5,108.72,114.03,117.76,-4.66,-7.68,Minor Decline
106,31-12-2024,3,94183411.44,98971834.56,106984421.1,-4.84,-11.97,Major Decline
107,30-06-2024,1,1099953.82,1053277.81,1234999.89,4.43,-10.93,Major Decline
108,30-06-2023,4,2.4,2.41,2.48,-0.41,-3.23,Minor Decline
109,30-09-2024,3,71325607.13,71910460.52,74881004.84,-0.81,-4.75,Minor Decline
110,30-06-2025,2,186.48,186.33,162.54,0.08,14.73,Strong Growth
111,31-03-2023,5,115.36,111.8,107.46,3.18,7.35,Minor Growth
112,31-03-2025,1,2604410.59,2531346.96,2905118.33,2.89,-10.35,Major Decline
113,30-09-2024,4,1.7,1.68,1.6,1.19,6.25,Minor Growth
114,31-03-2025,1,3575315.38,3571942.11,4011429.14,0.09,-10.87,Major Decline
115,31-12-2023,4,1.87,1.85,2.04,1.08,-8.33,Minor Decline
116,31-03-2024,2,82.7,84.96,94.05,-2.66,-12.07,Major Decline
117,30-09-2023,3,66216914.66,67756660.02,60575308.28,-2.27,9.31,Minor Growth
118,30-06-2025,2,-9.83,-10.28,-8.98,-4.38,9.47,Minor Growth
119,31-12-2024,2,-138.79,-137.85,-137.08,0.68,1.25,Stable
120,30-06-2024,5,124.43,127.56,139.25,-2.45,-10.64,Major Decline
121,30-09-2024,4,1.76,1.75,1.92,0.57,-8.33,Minor Decline
122,31-12-2024,3,67023530.75,65980674.14,75737596.68,1.58,-11.51,Major Decline
123,31-03-2025,2,267.18,266.32,268.5,0.32,-0.49,Stable
124,31-03-2025,4,1.86,1.91,1.87,-2.62,-0.53,Stable
125,30-09-2023,1,2945089.6,3081887.83,2667131.43,-4.44,10.42,Strong Growth
126,30-09-2024,3,91038127.25,91515779.26,95726139.21,-0.52,-4.9,Minor Decline
127,30-06-2025,3,74946601.04,77094179.41,88146265.2,-2.79,-14.97,Major Decline
128,31-12-2024,2,-87.42,-91.85,-101.39,-4.82,-13.78,Major Decline
129,31-12-2024,3,51473505.59,49588836.31,57635802.98,3.8,-10.69,Major Decline
130,30-09-2024,4,1.75,1.75,1.73,0,1.16,Stable
131,30-09-2023,1,1488273.88,1429724.72,1618877.48,4.1,-8.07,Minor Decline
132,31-12-2023,2,265.55,272.17,312.13,-2.43,-14.92,Major Decline
133,31-03-2025,2,283.12,283.58,254.23,-0.16,11.36,Strong Growth
134,31-03-2023,3,86717147.38,89592912.06,78577990.36,-3.21,10.36,Strong Growth
135,31-03-2024,2,-269.35,-269.15,-290.8,0.07,-7.38,Minor Decline
136,31-03-2025,3,68079310.51,66373327.96,64529231.81,2.57,5.5,Minor Growth
137,30-09-2023,2,-35.95,-37.66,-41.71,-4.54,-13.81,Major Decline
138,31-03-2024,1,3808818.15,3645210.33,3449453.53,4.49,10.42,Strong Growth
139,31-03-2023,4,1.62,1.68,1.57,-3.57,3.18,Minor Growth
140,31-12-2024,2,94.57,93.48,84.77,1.17,11.56,Strong Growth
141,31-03-2025,5,109.62,113.33,97.5,-3.27,12.43,Strong Growth
142,30-06-2024,4,2.22,2.17,2.34,2.3,-5.13,Minor Decline
143,30-06-2023,1,3511487.92,3433646.46,3408937.87,2.27,3.01,Minor Growth
144,31-12-2024,4,2.24,2.22,1.96,0.9,14.29,Strong Growth
145,30-09-2023,1,2968013.25,3120129.23,3301450.64,-4.88,-10.1,Major Decline
146,30-06-2025,3,98207917.46,98508165.48,110824582.9,-0.3,-11.38,Major Decline
147,31-03-2025,1,1623280.65,1703525.28,1768468.64,-4.71,-8.21,Minor Decline
148,31-03-2025,5,124.73,126.9,134.83,-1.71,-7.49,Minor Decline
149,31-03-2025,2,100.57,98.85,88.19,1.74,14.04,Strong Growth
150,30-06-2025,4,2.23,2.32,1.95,-3.88,14.36,Strong Growth
151,30-09-2024,1,4000949.04,4099662.15,4309701.25,-2.41,-7.16,Minor Decline
152,30-09-2024,1,4839988.94,4993469.97,5270732.91,-3.07,-8.17,Minor Decline
153,30-06-2024,2,-84.64,-83.15,-86.46,1.79,-2.11,Minor Decline
154,31-03-2024,3,65563208.3,67122984.09,73871641.69,-2.32,-11.25,Major Decline
155,31-12-2024,1,3185022.42,3258864.36,3354615.22,-2.27,-5.06,Minor Decline
156,31-03-2025,5,105.16,104.83,99.31,0.31,5.89,Minor Growth
157,30-06-2025,1,4710135.61,4857248.55,4183779.56,-3.03,12.58,Strong Growth
158,30-06-2023,1,2444522.26,2372771.36,2184480.39,3.02,11.9,Strong Growth
159,31-12-2023,4,2.46,2.5,2.65,-1.6,-7.17,Minor Decline
160,31-12-2024,5,113.79,113.17,107.63,0.55,5.72,Minor Growth
161,31-03-2025,1,3767510.08,3917695.08,3645229.86,-3.83,3.35,Minor Growth
162,30-06-2024,5,108.36,106.12,94.81,2.11,14.29,Strong Growth
163,31-12-2023,3,88544991.31,86853645.76,101397605.4,1.95,-12.68,Major Decline
164,30-06-2024,3,59231651.63,60101679.94,52415382.89,-1.45,13,Strong Growth
165,31-12-2023,2,-101.46,-98.37,-115.15,3.14,-11.89,Major Decline
166,31-12-2023,4,2.16,2.1,2.13,2.86,1.41,Stable
167,31-12-2024,1,4067383.68,3978400.69,4095667.46,2.24,-0.69,Stable
168,30-06-2023,5,122.31,124.28,125.11,-1.59,-2.24,Minor Decline
169,30-06-2023,3,76993050.79,79945446.89,76640862.71,-3.69,0.46,Stable
170,31-03-2024,4,1.82,1.87,1.78,-2.67,2.25,Minor Growth
171,30-09-2023,2,-102.24,-98.73,-105.08,3.56,-2.7,Minor Decline
172,31-03-2023,4,1.91,1.82,2.01,4.95,-4.98,Minor Decline
173,31-03-2025,2,-221.11,-213.09,-196.52,3.76,12.51,Strong Growth
174,30-06-2024,3,61322501.75,59065735.56,61422802.08,3.82,-0.16,Stable
175,30-09-2023,1,1173726.59,1168023.01,1062549.95,0.49,10.46,Strong Growth
176,30-06-2024,4,1.9,1.89,2.13,0.53,-10.8,Major Decline
177,31-03-2024,5,121.84,126.83,138.72,-3.93,-12.17,Major Decline
178,31-03-2023,2,260.14,250.77,254.42,3.74,2.25,Minor Growth
179,30-06-2023,5,107.12,106.63,95.12,0.46,12.62,Strong Growth
180,30-06-2024,4,2.11,2.18,1.88,-3.21,12.23,Strong Growth
181,30-06-2023,3,93272813.1,92840294.09,84358408.4,0.47,10.57,Strong Growth
182,30-06-2023,5,106.13,106.54,117.47,-0.38,-9.65,Minor Decline
183,30-06-2025,1,4350163.98,4154411.73,3852396.6,4.71,12.92,Strong Growth
184,30-06-2025,3,75167422.6,75084850.26,66966169.69,0.11,12.25,Strong Growth
185,31-12-2023,2,133.05,138.96,149.75,-4.25,-11.15,Major Decline
186,30-06-2025,5,124.03,125.72,136.87,-1.34,-9.38,Minor Decline
187,31-12-2024,4,2.24,2.16,2.46,3.7,-8.94,Minor Decline
188,30-06-2024,3,62571802.09,60165536.19,73273259.91,4,-14.6,Major Decline
189,30-09-2024,2,244.77,256.59,278.58,-4.61,-12.14,Major Decline
190,31-12-2024,1,4449101.42,4563920.66,4849640.6,-2.52,-8.26,Minor Decline
191,30-09-2024,4,2.34,2.33,2.45,0.43,-4.49,Minor Decline
192,30-06-2024,3,85711610.82,83136493.7,77299103.73,3.1,10.88,Strong Growth
193,31-03-2024,5,107.39,106.51,101.94,0.83,5.35,Minor Growth
194,30-06-2023,3,55823718.95,55215652.84,64942902.3,1.1,-14.04,Major Decline
195,31-03-2024,5,111.83,115.62,109.81,-3.28,1.84,Stable
196,31-12-2023,2,-185.34,-180.13,-209.11,2.89,-11.37,Major Decline
197,31-12-2024,2,154.7,161.16,157.42,-4.01,-1.73,Stable
198,30-06-2024,3,84926713.13,87902493.77,78949948.75,-3.39,7.57,Minor Growth
199,31-12-2023,2,272.05,275.54,320.04,-1.27,-15,Major Decline
200,30-09-2023,2,-13.9,-13.36,-13.24,4.04,4.98,Minor Growth
201,30-06-2023,2,121.97,118.5,108.66,2.93,12.25,Strong Growth
202,30-06-2023,5,107.5,106.54,96.25,0.9,11.69,Strong Growth
203,30-06-2023,1,4103556.22,4209232.43,3688981.46,-2.51,11.24,Strong Growth
204,30-09-2024,1,2176413.93,2195983.13,2403039.6,-0.89,-9.43,Minor Decline
205,31-03-2024,4,2.39,2.49,2.08,-4.02,14.9,Strong Growth
206,31-03-2024,4,1.83,1.79,2.06,2.23,-11.17,Major Decline
207,30-09-2023,5,114.76,120.29,103.06,-4.6,11.35,Strong Growth
208,30-09-2024,4,1.95,1.9,1.74,2.63,12.07,Strong Growth
209,30-09-2023,5,106.37,106.25,117.29,0.11,-9.31,Minor Decline
210,31-03-2024,5,106.38,105.1,120.31,1.22,-11.58,Major Decline
211,30-09-2024,1,2967740.5,3060498.57,3263704.97,-3.03,-9.07,Minor Decline
212,30-09-2023,3,76149713.72,75730246.33,89478020.06,0.55,-14.9,Major Decline
213,30-09-2024,2,0.46,0.45,0.44,2.22,4.55,Minor Growth
214,30-06-2023,1,4399520.5,4232220.64,4243125.53,3.95,3.69,Minor Growth
215,30-06-2025,3,74091600.9,76350769.69,83433821.65,-2.96,-11.2,Major Decline
216,30-09-2024,3,80454983.35,77015596.75,86189657.63,4.47,-6.65,Minor Decline
217,31-03-2023,1,1397813.38,1408537.77,1644206.28,-0.76,-14.99,Major Decline
218,31-03-2024,4,2.05,2.15,1.82,-4.65,12.64,Strong Growth
219,30-06-2024,1,4479731.97,4659155.27,5010499.38,-3.85,-10.59,Major Decline
220,31-12-2023,1,4813789.95,4667441.08,4250184.21,3.14,13.26,Strong Growth
221,31-12-2023,4,1.83,1.9,1.77,-3.68,3.39,Minor Growth
222,31-12-2024,3,98335259.38,102113843.3,89749103.67,-3.7,9.57,Minor Growth
223,30-06-2024,4,1.86,1.93,1.88,-3.63,-1.06,Stable
224,31-03-2025,2,-6.76,-7.11,-6.81,-4.92,-0.73,Stable
225,30-06-2025,5,117.95,114.91,134.1,2.65,-12.04,Major Decline
226,30-09-2023,3,93826890.43,97051465.26,89573398.77,-3.32,4.75,Minor Growth
227,31-03-2023,3,77631625.03,74789557.54,90102372.78,3.8,-13.84,Major Decline
228,30-09-2023,4,1.69,1.76,1.78,-3.98,-5.06,Minor Decline
229,31-12-2023,1,2355393.89,2456449.15,2345314.93,-4.11,0.43,Stable
230,30-06-2023,4,1.62,1.69,1.88,-4.14,-13.83,Major Decline
231,31-12-2023,3,96457094.8,97463514.95,103150985.3,-1.03,-6.49,Minor Decline
232,30-06-2023,3,74113701.96,76740601.98,76260646.02,-3.42,-2.82,Minor Decline
233,30-09-2024,1,1762182.56,1797339.83,1563237.53,-1.96,12.73,Strong Growth
234,31-03-2023,2,-210.78,-211.33,-201.08,-0.26,4.82,Minor Growth
235,31-12-2024,3,95899859.49,92007828.63,103767774.7,4.23,-7.58,Minor Decline
236,31-03-2024,5,123.86,125.98,110.74,-1.68,11.85,Strong Growth
237,31-12-2024,5,106.86,110.18,122.31,-3.01,-12.63,Major Decline
238,30-06-2025,3,64951345.43,62610628.48,72346540.33,3.74,-10.22,Major Decline
239,30-06-2025,5,109.5,112.7,117.44,-2.84,-6.76,Minor Decline
240,30-09-2023,5,105.37,106.18,92.2,-0.76,14.28,Strong Growth
241,31-12-2023,5,113.96,110.5,111.57,3.13,2.14,Minor Growth
242,30-06-2025,2,-291.07,-288.6,-256.69,0.86,13.39,Strong Growth
243,31-03-2024,2,32.11,32.02,30.55,0.28,5.11,Minor Growth
244,30-09-2024,1,4483550.9,4454703.87,4613034.71,0.65,-2.81,Minor Decline
245,31-12-2024,4,1.54,1.6,1.47,-3.75,4.76,Minor Growth
246,31-12-2023,4,2.12,2.18,1.99,-2.75,6.53,Minor Growth
247,30-09-2024,5,110.59,112.79,127.35,-1.95,-13.16,Major Decline
248,31-03-2025,1,3201125.4,3270560.93,2921583.49,-2.12,9.57,Minor Growth
249,30-06-2024,4,2.3,2.39,2.56,-3.77,-10.16,Major Decline
250,30-06-2023,5,111.42,110.53,116.95,0.81,-4.73,Minor Decline
251,30-06-2025,2,-89.85,-93.2,-94.51,-3.59,-4.93,Minor Decline
252,31-12-2024,1,2881626.25,2748405.72,2616355.4,4.85,10.14,Strong Growth
253,30-06-2024,5,120.86,120.14,126.16,0.6,-4.2,Minor Decline
254,31-12-2023,2,214.17,217.49,208.37,-1.53,2.78,Minor Growth
255,31-12-2024,5,110.14,107.18,109.66,2.76,0.44,Stable
256,30-06-2025,3,94758426.75,94110007.69,105370101.9,0.69,-10.07,Major Decline
257,30-09-2024,1,4971790.91,4970813.68,5373675.09,0.02,-7.48,Minor Decline
258,30-09-2023,2,-102.43,-106.46,-117.44,-3.79,-12.78,Major Decline
259,31-03-2024,5,114.01,109.08,128.55,4.52,-11.31,Major Decline
260,30-06-2023,2,241.63,234.67,221.29,2.97,9.19,Minor Growth
261,31-12-2023,5,119.2,118.12,134.47,0.91,-11.36,Major Decline
262,31-12-2024,2,45.39,46.07,51.49,-1.48,-11.85,Major Decline
263,30-09-2023,1,4215311.85,4195781.07,3926748.52,0.47,7.35,Minor Growth
264,31-03-2023,4,1.98,1.97,1.86,0.51,6.45,Minor Growth
265,30-09-2023,1,1987787.49,1921115.47,2036073.99,3.47,-2.37,Minor Decline
266,30-06-2025,5,119.17,121.28,112.35,-1.74,6.07,Minor Growth
267,30-09-2024,4,1.54,1.48,1.42,4.05,8.45,Minor Growth
268,30-06-2023,3,83240278.27,84732570.13,75482472.13,-1.76,10.28,Strong Growth
269,31-12-2023,3,88384297.67,88800911.72,97207325.39,-0.47,-9.08,Minor Decline
270,30-09-2024,2,-194.69,-194.92,-179.43,-0.12,8.5,Minor Growth
271,30-06-2024,1,3857860.91,3860345.32,4233229.06,-0.06,-8.87,Minor Decline
272,31-12-2024,2,-156.46,-163.7,-173.26,-4.42,-9.7,Minor Decline
273,31-03-2023,4,1.51,1.48,1.47,2.03,2.72,Minor Growth
274,30-09-2023,3,99397816.78,96852786.22,107588280.6,2.63,-7.61,Minor Decline
275,31-12-2024,4,2.21,2.32,1.93,-4.74,14.51,Strong Growth
276,31-12-2024,3,80721765.39,83913236.13,80757640.85,-3.8,-0.04,Stable
277,30-09-2023,5,123.81,119.63,131.76,3.49,-6.03,Minor Decline
278,31-12-2024,1,2584585.58,2496325.95,2307658.53,3.54,12,Strong Growth
279,30-09-2023,5,123.29,118,123.27,4.48,0.02,Stable
280,31-03-2025,3,93075952.02,94522396.92,84504490.99,-1.53,10.14,Strong Growth
281,31-12-2024,2,-91.52,-90.54,-92.39,1.08,-0.94,Stable
282,31-12-2024,4,2.39,2.5,2.11,-4.4,13.27,Strong Growth
283,31-12-2023,4,1.96,1.96,1.78,0,10.11,Strong Growth
284,30-09-2024,5,118.32,113.18,116.69,4.54,1.4,Stable
285,31-03-2025,2,35.19,33.6,31.2,4.73,12.79,Strong Growth
286,30-06-2023,4,1.71,1.74,1.65,-1.72,3.64,Minor Growth
287,31-03-2023,3,96968750.24,96358254.96,90637970.2,0.63,6.98,Minor Growth
288,30-06-2024,2,-243.6,-243.05,-272.4,0.23,-10.57,Major Decline
289,30-06-2024,5,110.21,114.01,122.49,-3.33,-10.03,Major Decline
290,30-09-2024,1,4966830.13,5069101.61,4871134.39,-2.02,1.96,Stable
291,30-06-2025,3,51004271.01,49488026.21,48388012.38,3.06,5.41,Minor Growth
292,30-06-2023,2,-162.73,-170.65,-174.53,-4.64,-6.76,Minor Decline
293,31-03-2025,1,3514321.59,3693375.36,4027378.89,-4.85,-12.74,Major Decline
294,30-06-2024,5,113.19,116.98,108.88,-3.24,3.96,Minor Growth
295,30-06-2025,4,1.67,1.59,1.7,5.03,-1.76,Stable
296,31-03-2024,5,107.97,112.78,110.61,-4.26,-2.39,Minor Decline
297,30-09-2024,1,4236368.8,4262439.97,4747567.52,-0.61,-10.77,Major Decline
298,30-06-2023,5,114.77,116.67,114.71,-1.63,0.05,Stable
299,31-03-2023,3,69556861.85,68543182.85,63750038.4,1.48,9.11,Minor Growth
300,31-12-2024,2,231.87,226.41,242.41,2.41,-4.35,Minor Decline
301,30-06-2024,4,1.95,1.92,2.13,1.56,-8.45,Minor Decline
302,31-03-2024,4,2.2,2.17,2.1,1.38,4.76,Minor Growth
303,31-03-2024,3,66666346.42,65996045.28,73314539.33,1.02,-9.07,Minor Decline
304,30-09-2024,5,108.79,105.95,112.87,2.68,-3.61,Minor Decline
305,31-03-2025,2,26.76,27.33,29.06,-2.09,-7.91,Minor Decline
306,30-09-2024,2,167.92,163.12,152.53,2.94,10.09,Strong Growth
307,31-03-2025,1,4417780.98,4457281.57,4043031.6,-0.89,9.27,Minor Growth
308,31-12-2024,1,2383737.61,2495402.37,2255615.79,-4.47,5.68,Minor Growth
309,30-09-2024,2,-180.62,-181.5,-200.88,-0.48,-10.09,Major Decline
310,30-09-2023,4,1.89,1.82,1.83,3.85,3.28,Minor Growth
311,30-06-2024,2,-211.12,-206.46,-191.17,2.26,10.44,Strong Growth
312,30-09-2023,2,-200.16,-195.39,-197.25,2.44,1.48,Stable
313,30-09-2024,1,3417055.32,3273347.23,3968851.88,4.39,-13.9,Major Decline
314,30-09-2024,3,81939476.11,85518488.45,75389912.69,-4.19,8.69,Minor Growth
315,30-06-2024,1,4584534.77,4782267.29,5344826.63,-4.13,-14.22,Major Decline
316,30-06-2024,5,124.11,119.03,110.11,4.27,12.71,Strong Growth
317,31-12-2023,1,4758740.63,4758694.51,4163123.1,0,14.31,Strong Growth
318,30-06-2025,1,4569249.95,4760794.22,4177360.45,-4.02,9.38,Minor Growth
319,31-03-2024,1,3849776.74,3995990.84,3593298.26,-3.66,7.14,Minor Growth
320,30-06-2025,4,1.98,1.91,1.81,3.66,9.39,Minor Growth
321,30-06-2023,4,2.44,2.55,2.3,-4.31,6.09,Minor Growth
322,30-06-2025,5,112.54,109.52,109.18,2.76,3.08,Minor Growth
323,31-03-2024,5,114.91,120.9,111.33,-4.95,3.22,Minor Growth
324,31-12-2024,4,1.92,1.95,1.67,-1.54,14.97,Strong Growth
325,31-03-2023,5,119.01,118.54,107.16,0.4,11.06,Strong Growth
326,31-03-2024,3,61354912.1,60627936.04,55360612.34,1.2,10.83,Strong Growth
327,30-06-2024,3,56179281.27,57702102.68,64220330.56,-2.64,-12.52,Major Decline
328,31-03-2025,4,2.49,2.47,2.5,0.81,-0.4,Stable
329,31-12-2023,3,66921759.6,67261766.62,61806806.34,-0.51,8.28,Minor Growth
330,30-06-2025,3,95835890.11,99777654.23,101965133.9,-3.95,-6.01,Minor Decline
331,31-12-2023,2,-186.52,-187.73,-184.83,-0.64,0.91,Stable
332,31-12-2023,1,3885119.84,3744456.27,3836628.91,3.76,1.26,Stable
333,31-12-2023,1,2955074.35,2932857.1,2646675.61,0.76,11.65,Strong Growth
334,31-03-2025,2,89.13,86.64,83.62,2.87,6.59,Minor Growth
335,30-06-2024,5,123.47,119.68,129.65,3.17,-4.77,Minor Decline
336,30-06-2023,3,92718430.14,93021252.47,83971398.1,-0.33,10.42,Strong Growth
337,30-06-2023,4,2.41,2.37,2.26,1.69,6.64,Minor Growth
338,30-09-2024,3,57055418.56,58078500.58,56084056.8,-1.76,1.73,Stable
